WAREHOUSE,ITEM_NUMBER,CUR_LOCATION,DAYS_FRM_SLE,AVGD_BTW_SLE,LMGRD5,LMDEEP,OPT_CURRBAY,SUGGESTED_GRID5,SUGGESTED_DEPTH,OPT_OPTBAY,SUGGESTED_MAX,SUGGESTED_MIN,IMPLIED_REPLEN,CURRENT_REPLEN,DAILY_PICK,DAILY_UNIT,REPLEN_SCORE,WALK_SCORE,TOTAL_SCORE
7,9872558,A280031,4,1,12S24,120,0,14S18,120,0,64,16,47,95,4.00,9.00,52.50%,100.00%,52.50%
7,9910026,B310731,4,2,11S47,24,7,11S47,24,7,6,2,95,95,1.50,1.50,52.50%,100.00%,52.50%
7,1125533,A860021,0,1,15S12,120,0,12S30,120,0,240,60,48,95,5.00,34.00,52.67%,100.00%,52.67%
7,1027724,B821521,0,1,11S47,24,15,11S47,24,2,288,50,27,26,7.00,25.00,87.02%,61.00%,53.08%
7,1071241,A920024,0,1,15S18,120,0,27S18,120,0,440,110,46,94,16.00,60.00,53.09%,100.00%,53.09%
7,2509801,B402031,0,1,11S47,24,20,09S12,120,0,64,14,35,25,4.00,7.00,87.33%,61.00%,53.27%
7,1271338,B281864,0,1,11T11,24,18,11S47,24,3,264,16,8,30,5.00,8.00,85.10%,62.85%,53.49%
7,2480687,B720821,0,1,11S47,24,8,11T11,24,1,96,24,148,47,7.00,42.00,76.36%,70.75%,54.02%
7,1025355,A700011,0,1,12S24,120,0,27S18,120,0,220,55,44,92,7.00,29.00,54.08%,100.00%,54.08%
7,1005952,A650033,0,1,12S44,120,0,27S30,120,0,620,155,47,91,18.00,86.00,54.61%,100.00%,54.61%
7,1022285,B280952,0,1,11S23,24,9,11S47,24,2,480,62,19,41,11.00,31.00,79.44%,69.36%,55.10%
7,2489568,B292264,0,1,14T11,24,22,11S47,24,3,390,20,0,25,4.00,10.00,87.70%,62.85%,55.13%
7,4224790,B642411,0,1,58P48,44,24,27S18,120,0,440,110,46,40,33.00,60.00,80.00%,69.36%,55.48%
7,2481288,A830022,0,1,15S24,120,0,15S24,120,0,200,14,10,89,2.00,7.00,55.67%,100.00%,55.67%
7,1125532,A680025,0,1,15S24,120,0,15S30,120,0,360,84,39,89,5.00,42.00,55.67%,100.00%,55.67%
7,1256020,A300041,0,1,09S24,120,0,14S18,120,0,180,42,39,89,15.00,21.00,55.67%,100.00%,55.67%
7,9004462,A150013,0,1,11S30,120,0,27S18,120,0,104,26,45,89,4.00,14.00,55.67%,100.00%,55.67%
7,1126196,B262081,0,1,11T11,24,20,11S47,24,4,286,20,10,56,3.00,10.00,71.85%,77.71%,55.84%
7,1127140,B882012,0,1,11T11,24,20,11S47,24,4,120,8,0,56,3.00,4.00,71.85%,77.71%,55.84%
7,5554462,A320031,4,1,12S12,120,0,14S18,120,0,70,18,44,88,4.00,9.00,56.15%,100.00%,56.15%
7,9451797,B220167,0,1,06T04,24,1,11T11,24,1,138,18,19,88,4.00,9.00,56.15%,100.00%,56.15%
7,1043377,B282013,1,1,06T11,24,20,11T11,24,1,84,12,0,41,3.00,6.00,79.46%,70.75%,56.22%
7,1126831,A200013,0,1,12S18,120,0,27S18,120,0,240,60,44,87,8.00,31.00,56.37%,100.00%,56.37%
7,4540000,A150011,0,1,11S24,120,0,14S18,120,0,450,113,47,87,19.00,62.00,56.37%,100.00%,56.37%
7,9596851,A250024,0,1,15S44,120,0,27S44,120,0,780,144,29,87,34.00,72.00,56.57%,100.00%,56.57%
7,9004272,A380044,0,1,09S18,120,0,12S24,120,0,390,96,41,87,15.00,48.00,56.57%,100.00%,56.57%
7,2270611,A860011,0,1,12S24,120,0,12S44,120,0,312,78,43,86,16.00,40.00,56.70%,100.00%,56.70%
7,1106497,B891262,0,1,11T11,24,12,11S47,24,4,126,8,0,72,3.00,4.00,63.81%,88.86%,56.70%
7,7370029,B700431,0,1,11S47,24,4,09S18,120,0,504,126,42,60,8.00,63.00,69.77%,81.43%,56.81%
7,7777993,B280114,0,1,15T11,24,1,11T11,24,1,160,40,97,86,6.00,46.00,56.84%,100.00%,56.84%
7,8969286,A800032,0,1,14S24,120,0,27S44,120,0,156,34,35,86,16.00,17.00,56.93%,100.00%,56.93%
7,5075201,A340012,11,1,12S18,120,0,12S18,120,0,288,72,45,86,8.00,38.00,57.02%,100.00%,57.02%
7,2583354,B750631,14,3,11S47,24,6,14S12,120,0,108,27,36,82,1.00,11.67,58.95%,96.75%,57.03%
7,5430185,A100041,0,1,60P48,88,0,27S44,120,0,630,158,71,85,16.00,99.99,57.46%,100.00%,57.46%
7,5430121,A750043,0,1,09S12,120,0,14S12,120,0,144,32,36,84,9.00,16.00,57.78%,100.00%,57.78%
7,7770570,A760042,0,1,09S18,120,0,14S18,120,0,84,20,40,84,7.00,10.00,57.78%,100.00%,57.78%
7,1005455,A750024,0,1,15S24,120,0,15S44,120,0,352,88,42,84,19.00,44.00,57.78%,100.00%,57.78%
7,1023909,A720021,0,1,15S12,120,0,27S18,120,0,168,32,30,84,11.00,16.00,57.78%,100.00%,57.78%
7,1126864,B270112,0,1,15T11,24,1,11T11,24,1,33,9,105,84,7.00,10.00,57.78%,100.00%,57.78%
7,1126951,A270021,0,1,15S18,120,0,15S18,120,0,42,11,49,84,4.00,6.00,57.78%,100.00%,57.78%
7,2900727,A270011,0,1,12S18,120,0,12S30,120,0,174,44,47,84,14.00,24.00,57.78%,100.00%,57.78%
7,3334229,B300363,5,3,11T11,24,3,11T11,24,2,3,1,84,84,1.67,2.00,57.78%,100.00%,57.78%
7,1048645,B791452,0,1,11S23,24,14,06T11,24,1,98,16,0,0,6.00,8.00,100.00%,58.21%,58.21%
7,9878685,B680511,0,1,58P48,44,5,27S24,120,0,360,84,39,21,15.00,42.00,89.36%,65.18%,58.24%
7,1204635,B700863,1,2,11T11,24,8,11S47,24,13,112,26,19,82,0.50,6.50,58.83%,99.07%,58.29%
7,6108876,B701352,0,1,08S23,24,13,11S47,24,5,55,14,43,74,2.00,7.00,63.06%,92.57%,58.37%
7,1088036,B332121,0,3,11S47,24,21,12S24,120,0,28,7,32,75,0.67,2.67,62.47%,93.50%,58.41%
7,1074050,A690042,0,1,27S64,120,0,27S64,120,0,1534,384,46,83,68.00,99.99,58.44%,100.00%,58.44%
7,7370004,B891821,0,1,11S47,24,18,11S47,24,3,48,10,33,33,4.00,5.00,83.33%,70.28%,58.57%
7,1004263,A200023,0,1,15S44,120,0,15S44,120,0,126,32,81,83,25.00,30.00,58.70%,100.00%,58.70%
7,4370002,B351552,0,1,11S23,24,15,11S47,24,4,242,24,14,63,3.00,12.00,68.33%,86.07%,58.82%
7,5075000,A340035,0,1,14S18,120,0,15S30,120,0,304,76,43,82,9.00,39.00,58.83%,100.00%,58.83%
7,9870051,A390053,0,1,15S18,120,0,27S24,120,0,96,24,46,82,9.00,13.00,58.83%,100.00%,58.83%
7,1109167,B822214,0,1,11T11,24,22,11S47,24,4,193,8,0,42,3.00,4.00,78.89%,74.93%,59.11%
7,9874537,B682311,0,1,58P48,44,23,27S44,120,0,220,55,84,70,10.00,55.00,65.17%,90.71%,59.12%
7,5700363,B780331,0,1,11S47,24,3,11S47,24,1,528,110,33,26,23.00,55.00,87.22%,67.96%,59.27%
7,1027617,B350531,0,1,11S47,24,5,14S18,120,0,126,26,33,66,5.00,13.00,67.07%,88.39%,59.28%
7,1530249,B350721,5,2,11S47,24,7,11S47,24,9,6,2,158,79,1.00,2.50,60.42%,99.07%,59.86%
7,1127018,A310055,0,1,15S12,120,0,12S24,120,0,140,35,46,80,5.00,19.00,59.89%,100.00%,59.89%
7,5650015,A750015,0,1,12S12,120,0,12S24,120,0,150,38,43,80,6.00,19.00,59.89%,100.00%,59.89%
7,1074960,B300452,0,1,11S23,24,4,11T11,24,1,42,11,82,53,8.00,10.00,73.61%,81.43%,59.94%
7,2770261,B881119,0,1,06T11,24,11,11S47,24,3,255,14,0,59,4.00,7.00,70.44%,85.14%,59.98%
7,6908199,A310041,0,1,09S12,120,0,14S12,120,0,44,11,46,80,4.00,6.00,60.00%,100.00%,60.00%
7,5906751,B890212,0,1,11T11,24,2,11S47,24,6,177,16,13,75,2.00,8.00,62.47%,96.29%,60.15%
7,1091113,B700251,0,1,11S23,24,2,11T11,24,1,342,86,43,26,22.00,44.00,86.86%,69.36%,60.24%
